time (s),getData(":pwr" ?result "tran") (W)
0.000,2.965E-6
100.0E-12,2.965E-6
300.0E-12,2.965E-6
700.0E-12,2.965E-6
1.500E-9,2.965E-6
2.750E-9,2.965E-6
4.000E-9,2.965E-6
6.000E-9,2.965E-6
6.003E-9,16.63E-6
6.008E-9,39.75E-6
6.013E-9,41.75E-6
6.018E-9,74.91E-6
6.022E-9,149.5E-6
6.028E-9,314.7E-6
6.033E-9,490.7E-6
6.038E-9,603.8E-6
6.042E-9,680.1E-6
6.046E-9,727.6E-6
6.050E-9,794.8E-6
6.051E-9,787.6E-6
6.053E-9,797.2E-6
6.055E-9,809.0E-6
6.057E-9,821.0E-6
6.059E-9,828.3E-6
6.061E-9,849.7E-6
6.064E-9,877.5E-6
6.066E-9,900.9E-6
6.068E-9,913.1E-6
6.071E-9,919.6E-6
6.074E-9,919.8E-6
6.077E-9,913.6E-6
6.080E-9,902.7E-6
6.083E-9,885.8E-6
6.088E-9,859.4E-6
6.094E-9,821.8E-6
6.102E-9,783.4E-6
6.109E-9,761.6E-6
6.116E-9,755.9E-6
6.122E-9,762.2E-6
6.129E-9,775.5E-6
6.135E-9,783.3E-6
6.143E-9,785.7E-6
6.147E-9,794.1E-6
6.152E-9,806.4E-6
6.156E-9,817.2E-6
6.159E-9,828.7E-6
6.163E-9,844.1E-6
6.166E-9,853.1E-6
6.168E-9,857.9E-6
6.171E-9,866.5E-6
6.174E-9,895.4E-6
6.177E-9,937.8E-6
6.180E-9,982.4E-6
6.184E-9,1.027E-3
6.187E-9,1.056E-3
6.191E-9,1.078E-3
6.194E-9,1.093E-3
6.200E-9,1.101E-3
6.205E-9,1.110E-3
6.210E-9,1.139E-3
6.217E-9,1.223E-3
6.224E-9,1.374E-3
6.231E-9,1.582E-3
6.238E-9,1.775E-3
6.244E-9,1.915E-3
6.250E-9,2.087E-3
6.255E-9,2.467E-3
6.260E-9,2.858E-3
6.265E-9,3.235E-3
6.270E-9,3.520E-3
6.274E-9,3.648E-3
6.279E-9,3.659E-3
6.283E-9,3.571E-3
6.288E-9,3.391E-3
6.293E-9,3.170E-3
6.298E-9,2.891E-3
6.304E-9,2.604E-3
6.309E-9,2.292E-3
6.316E-9,1.946E-3
6.323E-9,1.628E-3
6.330E-9,1.328E-3
6.337E-9,1.061E-3
6.345E-9,860.7E-6
6.351E-9,721.4E-6
6.357E-9,613.2E-6
6.365E-9,501.8E-6
6.372E-9,426.7E-6
6.379E-9,383.6E-6
6.386E-9,357.2E-6
6.394E-9,345.3E-6
6.401E-9,336.7E-6
6.408E-9,325.5E-6
6.416E-9,314.0E-6
6.423E-9,313.7E-6
6.431E-9,328.9E-6
6.438E-9,361.2E-6
6.445E-9,409.8E-6
6.454E-9,460.3E-6
6.462E-9,488.7E-6
6.470E-9,545.6E-6
6.478E-9,711.1E-6
6.486E-9,894.1E-6
6.491E-9,999.5E-6
6.496E-9,1.056E-3
6.501E-9,1.058E-3
6.506E-9,1.020E-3
6.512E-9,951.9E-6
6.518E-9,860.3E-6
6.524E-9,774.5E-6
6.531E-9,690.0E-6
6.539E-9,604.8E-6
6.547E-9,531.3E-6
6.555E-9,467.7E-6
6.564E-9,460.1E-6
6.573E-9,548.5E-6
6.580E-9,612.1E-6
6.587E-9,624.5E-6
6.592E-9,603.1E-6
6.598E-9,555.8E-6
6.604E-9,506.3E-6
6.610E-9,454.2E-6
6.617E-9,392.5E-6
6.626E-9,319.4E-6
6.641E-9,237.6E-6
6.658E-9,180.5E-6
6.680E-9,152.0E-6
6.699E-9,143.5E-6
6.719E-9,140.6E-6
6.740E-9,139.6E-6
6.764E-9,139.2E-6
6.794E-9,138.9E-6
6.831E-9,138.8E-6
6.879E-9,138.6E-6
6.946E-9,138.4E-6
7.049E-9,138.3E-6
7.235E-9,138.1E-6
7.483E-9,138.0E-6
7.741E-9,137.9E-6
8.000E-9,137.9E-6
8.517E-9,137.8E-6
9.259E-9,137.8E-6
10.00E-9,137.8E-6
10.00E-9,158.9E-6
10.01E-9,193.6E-6
10.01E-9,202.5E-6
10.02E-9,296.0E-6
10.02E-9,485.3E-6
10.03E-9,791.7E-6
10.03E-9,1.054E-3
10.03E-9,1.240E-3
10.04E-9,1.431E-3
10.04E-9,1.555E-3
10.04E-9,1.631E-3
10.04E-9,1.674E-3
10.04E-9,1.699E-3
10.05E-9,1.705E-3
10.05E-9,1.706E-3
10.05E-9,1.707E-3
10.05E-9,1.666E-3
10.05E-9,1.633E-3
10.05E-9,1.607E-3
